OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,OBJECTID_1,Shape_Leng,Top_in_RPA
1057,0,4,85e0c032-41f4-44ca-8e46-2605dcf9d6bd,0,3,1,16,MAIN STREET,BOULDER DRIVE,SR2A EB,N051 EB,MAIN STREET,BOULDER DRIVE,SR2A EB,N051 EB,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{DBE60992-12BE-40F3-8B80-29A1A641C216},,,,,905.795473,64,905.795537,Y
1058,0,8,f0f1c998-97c4-4eee-bf46-a87fb6392cf5,0,7,1,36,RIVERWAY, ,N404 EB,L090756,RIVERWAY,PARK DRIVE,N404 EB,N404 EB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{62056EB7-8323-4E7F-91AB-BFB271A2DF7E},,,,,1079.417913,65,1079.417837,Y
1073,0,9,1d08a88b-5366-44e8-9ea3-6d118abafe0e,0,5,4,29,MAIN STREET,KING STREET,N037 EB,L199405,MAIN STREET,KING STREET,N037 EB,L199405,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{CEC1CE50-3E51-4107-8655-A20BE823C4FE},,,,,1110.532478,66,1110.532463,Y
1081,0,16,1f6a6ba2-4dc9-4381-b765-91e9007efbd6,0,12,4,64,WAVERLY STREET,IRVING STREET,SR135 EB,SR126 NB,WAVERLY STREET,IRVING STREET,SR135 EB,SR126 NB,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{5D735D32-F2D1-47D2-B61A-F434808CCEFC},,,,,840.2905,67,840.290446,Y
1110,0,16,c6a39226-6a8e-4fc5-9f0b-dcd6e1fe8b25,0,14,2,72,MEMORIAL DRIVE, ,US3 NB,L091352,MEMORIAL DRIVE,REID ROTARY,US3 NB,SR2 EB,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{BE64364E-21E9-4CF6-B8AB-A547937B8AA1},,,,,1356.237532,68,1356.237577,Y
1114,0,19,3b5758ac-4809-4829-b7ad-362a8134f8a1,0,12,7,67,MASSACHUSETTS AVENUE, ,US3 NB,L040266 NB,MASSACHUSETTS AVENUE,ALEWIFE BROOK PARKWAY,US3 NB,US3 NB,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,ARLINGTON","6,4",{04233D58-FCEA-4BA3-AEF5-FB1588F14FF4},,,,,1565.535322,69,1565.535452,Y
1135,0,2,1cfb37e9-2b0c-44ba-adc4-1d018774cf79,0,2,0,10, ,SURFSIDE ROAD,B1,N4586,SURFSIDE ROAD, ,N4586,B1,NANTUCKET PLANNING & ECONOMIC DEVELOPMENT COMMISSION,NANTUCKET,5,{FA1DDA84-105F-41B1-8426-B1DEFDB20930},,,,,628.123283,70,628.123285,Y
1146,0,14,0c73bfdf-8b7e-4828-8883-fea4fd2d3040,0,4,10,30,COMMERCIAL STREET,BRADFORD STREET, ,SR6A EB,COMMERCIAL STREET,BRADFORD STREET, ,SR6A EB,CAPE COD COMMISSION,PROVINCETOWN,5,{5674D7C1-CDB7-4FD6-8BBA-C3B43EBEDA1B},,,,,1734.301569,71,1734.301539,Y
1152,0,7,b181f32c-8739-417a-b318-68c4f63d5f36,0,6,1,31,EAST STREET,ELM STREET,SR9 EB,N1010 NB,EAST STREET,ELM STREET,SR9 EB,N1010 NB,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{F138CAEF-481C-49F1-A6E6-BA3E4CD866BA},,,,,1238.065364,72,1238.065493,Y
1153,0,19,fcf0bca2-8fb9-4e7a-b3ef-c2997a40b798,0,8,11,51,MASSACHUSETTS AVENUE,RICE STREET,SR2A EB,L203829,MASSACHUSETTS AVENUE,DOVER STREET,SR2A EB,N1444,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{2F8D667C-C6C3-49A8-A482-2C9BDBB3586F},,,,,1244.111574,73,1244.11151,Y
