OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,OBJECTID_1,Shape_Leng,Top_in_RPA
1593,0,9,6fc1c1b7-06a2-40b1-ae39-ec4e59a6c43b,0,6,3,33,WEST SIXTH STREET,LAKEVIEW AVENUE,N4448,N4450,WEST SIXTH STREET,LAKEVIEW AVENUE,N4448,N4450,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{35383FC5-D7E4-4A5C-AFB1-19D137A3122B},,,,,1263.249391,107,1263.249302,Y
1594,0,8,445c2f03-11d4-422e-bc33-7c6e8eb372cc,0,7,1,36,BEACON STREET,SACRAMENTO STREET,N324,L187660,BEACON STREET,SACRAMENTO STREET,N324,L187660,METROPOLITAN AREA PLANNING COUNCIL,"SOMERVILLE,CAMBRIDGE","4,6",{B85E8240-36A4-4011-940B-BC2348E3E05F},,,,,1237.818287,108,1237.818297,Y
1601,0,7,191c2d8b-0d6e-4d1d-a8cd-aed7a1058304,0,6,1,31,MAIN STREET,AMHERST CROSSING,N4985,L144629 NB,MAIN STREET,NORTH WHITNEY STREET,N4985,N5233,PIONEER VALLEY PLANNING COMMISSION,AMHERST,2,{38ED57CD-F5DC-4A46-895D-78CFB08663E2},,,,,866.326803,109,866.32681,Y
1608,0,12,7f138c57-9b6b-4a37-a766-d37f27dfc5fd,0,7,5,40,FRENCH STREET,PAIGE STREET,N4439,N4518,BRIDGE STREET,PRESCOTT STREET,N088 EB,N088 EB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{D6465BFC-30C8-4FB9-A9A3-3D9C7274B05F},,,,,1185.200071,110,1185.200152,Y
1614,0,36,36fd6f8a-c8f0-42a4-b6be-1e6386c4350a,0,27,9,144,SOMERVILLE AVENUE,WASHINGTON STREET,N333,N1206 EB,SOMERVILLE AVENUE,WASHINGTON STREET,N333,N1206 EB,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{4B289A28-43B8-4FA4-9BB5-F4355615EB09},,,,,2168.174636,111,2168.174413,Y
1626,0,3,f5c08b88-da7e-4815-8143-a0a593494b30,0,3,0,15,SPARKS AVENUE,PLEASANT STREET,N4577,L162719,SPARKS AVENUE,PLEASANT STREET,N4577,L162719,NANTUCKET PLANNING & ECONOMIC DEVELOPMENT COMMISSION,NANTUCKET,5,{5CA5E380-B868-4C2A-8CA8-59F46FF42F6A},,,,,883.89289,112,883.892802,Y
1648,0,12,aa7c0924-a447-4fb2-b701-1c94142fce70,0,10,2,52,BEACON STREET,WASHINGTON STREET,N075 NB,N1518,BEACON STREET,WASHINGTON STREET,N075 NB,N1518,METROPOLITAN AREA PLANNING COUNCIL,BROOKLINE,6,{DB042C7A-986D-4281-8FA8-53C0BBF355D6},,,,,1198.390727,113,1198.39083,Y
1664,0,9,d4ac0f9a-e63f-4f7f-bf66-cf58a85a8085,0,7,2,37,WASHINGTON AVENUE,CHESTNUT STREET,N1305 SB,L175861 NB,WASHINGTON AVENUE,CHESTNUT STREET,N1305 SB,L175861 NB,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{24B5551A-466A-4F36-84EA-0984EEAB93D3},,,,,628.113576,114,628.113555,Y
1685,0,7,81a2de91-68c4-46c8-ab0e-73c570bf71d3,0,3,4,19,WALL STREET,MERRIMACK STREET,L150999,SR113 EB,MERRIMACK STREET,EMERSON STREET,SR113 EB,SR110 EB,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{140F02C9-148E-4E2E-BF66-94AFF6031DB9},,,,,1145.72832,115,1145.728353,Y
1694,0,28,1b1f3483-0593-4da7-b33e-41fe756862d8,0,18,10,100,CAMBRIDGE STREET,OTIS STREET,N1480,L108462,CAMBRIDGE STREET,WARREN STREET,N1480,N1477,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,SOMERVILLE","6,4",{7D4F64E9-F90A-4EF5-9FAC-F413CBC47081},,,,,1518.405806,116,1518.405931,Y
1719,0,2,7edcd399-f6cd-46b0-928e-00d3e5a2a7e1,0,2,0,10,COUNTY ROAD, ,N3944,B1,COUNTY ROAD, ,N3944,B1,MARTHA'S VINEYARD COMMISSION,OAK BLUFFS,5,{DB3BF0BA-8F8E-4922-AA50-F370CDC94121},,,,,628.113561,117,628.113575,Y
1738,0,24,f32d9b2f-e434-40bb-b424-8fe979f8923e,0,20,4,104,MASSACHUSETTS AVENUE, ,SR2A EB,B1,MASSACHUSETTS AVENUE,CEDAR STREET,SR2A EB,N2381,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{62D14676-5641-4430-99BF-D6B3A3556740},,,,,1268.089599,118,1268.089664,Y
1766,0,32,31359169-9791-4db2-92aa-9bbd8431c6e0,0,20,12,112,BROADWAY,CAMBRIDGE STREET,N1475,N1480,BROADWAY,CAMBRIDGE STREET,N1475,N1480,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{289321BD-F461-46F8-BFA3-979A267D1244},,,,,1475.165142,119,1475.165129,Y
1775,0,18,1e876cf2-69af-4fb2-af78-7d402cea2c93,1,12,5,75,SOMERVILLE AVENUE,PITMAN STREET,N333,L118575,SOMERVILLE AVENUE,CENTRAL STREET,N333,N2388,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{DFCE2E63-E976-4B0A-9A64-0E6ECAE25012},,,,,1475.367708,120,1475.367791,Y
1849,0,5,a3392d1a-2c80-4294-9e8b-568fe4ef1f12,0,5,0,25,FRANCIS J. MCGRATH BOULEVARD,MADISON STREET,N038 EB,SR122 NB,FRANCIS J. MCGRATH BOULEVARD,MADISON STREET,N038 EB,SR122 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{FA0FC480-50A2-4A18-952F-B27AE2DD77ED},,,,,934.078524,121,934.078572,Y
1853,0,4,cc04ae91-15af-4d68-8c6e-bca2d3fbcf6a,0,4,0,20,ELM STREET,HOLMES ROAD,N1010 NB,N1010 NB,ELM STREET,HOLMES ROAD,N1010 NB,N1010 NB,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{915338C1-C300-4057-A5BB-35BE5C247F77},,,,,1013.599538,122,1013.599537,Y
1864,0,8,bc86168d-2b82-4ee8-bec3-36b5c83b6d0b,0,7,1,36,NORTH MAIN STREET,LEBANON STREET,N4627,L170147,NORTH MAIN STREET,EAST ASHLAND STREET,N4627,N4593,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{ED62B1FF-ABB3-4245-950C-B74520E8FB64},,,,,1080.909368,123,1080.909291,Y
1866,0,5,085433a3-c702-4a31-b611-0df2351b4921,0,4,1,21,NORTH STREET,DEPOT STREET,N001 NB,N1006 EB,NORTH STREET,DEPOT STREET,N001 NB,N1006 EB,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{35DC8F1F-5EE1-430C-928D-0B6665A022D6},,,,,691.317223,124,691.317177,Y
1869,0,29,bb9c22d4-2be4-4eec-89e3-53eb6ab7b1d2,1,22,6,126, ,MAIN STREET,L022197,SR9 EB,MAIN STREET,BRIDGE STREET,SR9 EB,SR9 EB,PIONEER VALLEY PLANNING COMMISSION,NORTHAMPTON,2,{0AB990EC-250B-4E67-906A-E73871A2D37A},,,,,1833.754888,125,1833.755003,Y
1885,0,5,60ecbac2-4a4f-4182-905c-db36a088ba12,0,5,0,25,STATE STREET,SAINT JAMES AVENUE,N011,N016 NB,STATE STREET,SAINT JAMES AVENUE,N011,N016 NB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{6398FCA9-143E-4405-A495-794E4A67116D},,,,,785.892844,126,785.892906,Y
1890,0,14,4f4cab3f-3762-4b9b-9a48-ab6232183d27,0,10,4,54,GARDEN STREET,CONCORD AVENUE,N153 EB,N153 EB,GARDEN STREET,CONCORD AVENUE,N153 EB,N153 EB,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{61FA0496-EE82-4341-B46E-EB952DEF6BF3},,,,,1405.692452,127,1405.692371,Y
1891,0,14,3dec6d7f-b223-4e6c-ad3c-d9048f6e1548,0,11,3,58,SOMERVILLE AVENUE,CHURCH STREET,N333,L168853,SOMERVILLE AVENUE,BOW STREET,N333, ,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{41F04E28-6A51-42EA-A9BC-01342AFDA10D},,,,,1050.702331,128,1050.702467,Y
1906,0,12,48d8bf6f-3304-4d54-b6d6-61a51328b499,0,7,5,40,CHANDLER STREET,AUSTIN STREET,SR122 NB,L165487,CHANDLER STREET,AUSTIN STREET,SR122 NB,L165487,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{CE5B5418-F7CF-4704-AFB0-4ED751946A22},,,,,1140.389256,129,1140.389313,Y
1913,0,8,ad7abbf5-3d47-4815-adce-855f29e6ca20,0,7,1,36,NORTHEAST EXPRESSWAY,FIFTH STREET,US1 NB, ,NORTHEAST EXPRESSWAY,BROADWAY,US1 NB,N350,METROPOLITAN AREA PLANNING COUNCIL,CHELSEA,6,{7370A0E7-A1CE-4151-B062-FFCB194EF97F},,,,,1174.177602,130,1174.177595,Y
