OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,RANK,MAP_NAME,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
98,0,30,c178a844-396d-44ed-b59d-5400564cb0f3,0,24,6,126,MAIN STREET,HAMMOND STREET,N037,CMR202,MAIN STREET,HAMMOND STREET,N037,CMR202,CMRPC,WORCESTER,3,0, ,{848BAF79-4726-4E07-8F05-E984A927373A},,,,,116002.941513,1487.700731
99,0,12,333f976a-081d-4a99-a60c-abe095d8dfc2,0,8,4,44,MAIN STREET,PLAIN STREET,SR28 NB,SR28 NB,MAIN STREET,PLAIN STREET,SR28 NB,SR28 NB,OCPC,BROCKTON,5,0, ,{452EC6D3-4571-49A8-BBBD-5DF3D5A1F029},,,,,80886.107758,1101.359233
100,0,16,1a6ca7fb-e70e-41ca-9fe8-8f3343d70e35,3,8,5,75,ELM STREET,SIXTH STREET,SMR035,SMR034,ELM STREET,SIXTH STREET,SMR035,SMR034,SRPEDD,NEW BEDFORD,5,0, ,{BFC748ED-5F47-4B60-B157-E701445042F6},,,,,91769.07048,1186.077674
101,0,43,1e4ad92b-5901-429e-8651-a1abe344f8b0,0,23,20,135,BEACON STREET,HARVARD STREET,L186451,N129,BEACON STREET,HARVARD STREET,L186451,N129,MAPC,BROOKLINE,6,0, ,{C5932BBD-29DF-4DAE-B8AD-0A8419013699},,,,,209626.721832,2287.888025
102,0,18,fe9366bc-26ef-4526-9b4f-e8f8675e485f,0,13,5,70,RODMAN STREET,FOURTH STREET,SMR148,L161975,RODMAN STREET,HARTWELL STREET,SMR148,L212226,SRPEDD,FALL RIVER,5,0, ,{2A29D34C-DD7A-4D22-BC09-FD42C9986AD4},,,,,133826.122955,1437.154859
103,0,33,ad0c51d8-35c5-4e3c-a941-3b3dd626f1c5,0,23,10,125,MASSACHUSETTS AVENUE,ELM STREET,SR2A EB,N450,MASSACHUSETTS AVENUE,SOMERVILLE AVENUE,SR2A EB,N333,MAPC,"CAMBRIDGE,SOMERVILLE","6,4",0, ,{4BBC5287-612B-4736-8D34-4EE005593B95},,,,,187173.287369,2140.742119
104,0,11,9d36c2e9-294a-4a57-9c5c-9dbb6f18de6c,0,10,1,51,HIGHLAND AVENUE,CENTRAL STREET,BSR0311,BSR1255,HIGHLAND AVENUE,CENTRAL STREET,BSR0311,BSR1255,MAPC,SOMERVILLE,4,0, ,{C4051E9D-85BB-4EA7-9901-608FCAB575A2},,,,,35365.196899,668.160122
105,0,44,b9372acd-4037-4c2b-a025-47e97147a417,0,28,16,156,CAMBRIDGE STREET,PROSPECT STREET,BSR0347,N327,PROSPECT STREET,HAMPSHIRE STREET,N327,N324,MAPC,"CAMBRIDGE,SOMERVILLE","6,4",0, ,{759479B7-638C-4932-B04B-8AB6181E441C},,,,,235682.46109,2460.072997
106,0,27,7d2d1501-5753-4c87-9b6f-e2263b1d446d,0,21,6,111,MURRAY AVENUE,MAIN STREET,L158664,N037,MAIN STREET,MURRAY AVENUE,N037,L158664,CMRPC,WORCESTER,3,0, ,{DEAB0812-964A-4AD8-91FB-607BB13486B3},,,,,115764.864883,1294.958724
107,0,39,88d1cac2-7bf7-4700-9330-1fac6174fef6,0,29,10,155,PLEASANT STREET,QUEQUECHAN STREET,SMR142,SMR140,PLEASANT STREET,QUEQUECHAN STREET,SMR142,SMR140,SRPEDD,FALL RIVER,5,0, ,{A83777E5-DB03-42D1-8A7B-99C383C2FC55},,,,,264005.463974,2566.248137
