inject_date,street,city,roadType,pubMillis,locy,locx,subtype,reliability,uuid,type,reportRating,magvar,startTime,startTimeMillis,endTime,endTimeMillis
2/23/15 1:00,I-90 W,"Boston, MA",3,1.42E+12,42.356315,-71.119207,HAZARD_ON_ROAD_POT_HOLE,6,387b95b9-8a96-3df5-b7c6-9581b7006e51,WEATHERHAZARD,1,-40,2/23/15 0:55,1.42E+12,2/23/15 0:56,1.42E+12
2/23/15 1:00,I-90 E Mass Pike,"Boston, MA",3,1.42E+12,42.357094,-71.121657,HAZARD_ON_ROAD_POT_HOLE,5,37f52a3c-9904-3914-ab00-6bf4775255b3,WEATHERHAZARD,1,98,2/23/15 0:55,1.42E+12,2/23/15 0:56,1.42E+12
2/23/15 1:10,Riverway,"Boston, MA",6,1.42E+12,42.337552,-71.110702,HAZARD_ON_ROAD_POT_HOLE,8,c82bb232-f419-3b7f-9383-97bbaa03f9b0,WEATHERHAZARD,2,-167,2/23/15 1:00,1.42E+12,2/23/15 1:01,1.42E+12
2/23/15 1:10,I-90 E Mass Pike,"Boston, MA",3,1.42E+12,42.357094,-71.121657,HAZARD_ON_ROAD_POT_HOLE,5,37f52a3c-9904-3914-ab00-6bf4775255b3,WEATHERHAZARD,1,98,2/23/15 1:00,1.42E+12,2/23/15 1:01,1.42E+12
2/23/15 1:10,I-90 W,"Boston, MA",3,1.42E+12,42.356315,-71.119207,HAZARD_ON_ROAD_POT_HOLE,7,387b95b9-8a96-3df5-b7c6-9581b7006e51,WEATHERHAZARD,1,-40,2/23/15 1:00,1.42E+12,2/23/15 1:01,1.42E+12
2/23/15 1:20,Riverway,"Boston, MA",6,1.42E+12,42.337552,-71.110702,HAZARD_ON_ROAD_POT_HOLE,10,c82bb232-f419-3b7f-9383-97bbaa03f9b0,WEATHERHAZARD,2,-167,2/23/15 1:15,1.42E+12,2/23/15 1:16,1.42E+12
2/23/15 1:20,Stuart St,"Boston, MA",6,1.42E+12,42.349468,-71.072449,HAZARD_ON_ROAD_POT_HOLE,5,3dc450bf-e3ad-3dfa-823e-f894d8338e8a,WEATHERHAZARD,1,69,2/23/15 1:15,1.42E+12,2/23/15 1:16,1.42E+12
2/23/15 1:20,I-90 E Mass Pike,"Boston, MA",3,1.42E+12,42.357094,-71.121657,HAZARD_ON_ROAD_POT_HOLE,7,37f52a3c-9904-3914-ab00-6bf4775255b3,WEATHERHAZARD,1,98,2/23/15 1:15,1.42E+12,2/23/15 1:16,1.42E+12
2/23/15 1:30,Stuart St,"Boston, MA",6,1.42E+12,42.349468,-71.072449,HAZARD_ON_ROAD_POT_HOLE,5,3dc450bf-e3ad-3dfa-823e-f894d8338e8a,WEATHERHAZARD,1,69,2/23/15 1:25,1.42E+12,2/23/15 1:26,1.42E+12
2/23/15 1:40,Charlesgate,"Boston, MA",6,1.42E+12,42.348164,-71.092327,HAZARD_ON_ROAD_POT_HOLE,5,f2b5379d-24aa-3bf4-9981-4d32d70262e4,WEATHERHAZARD,2,-179,2/23/15 1:35,1.42E+12,2/23/15 1:36,1.42E+12
